"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"519","GO:0043195",0.446094850837448,0.884818816492889,3,4,"terminal bouton","CC"
"91","GO:0005615",0.455286094643272,0.675438673304385,23,37,"extracellular space","CC"
"267","GO:0019897",0.455552545197362,0.880369095780219,3,4,"extrinsic component of plasma membrane","CC"
"161","GO:0005801",0.465770751392315,0.875445683046886,3,4,"cis-Golgi network","CC"
"26","GO:0000407",0.466118919433264,0.875275772923849,3,4,"phagophore assembly site","CC"
"749","GO:0098978",0.4665008109494,0.674398431466807,20,32,"glutamatergic synapse","CC"
"405","GO:0032153",0.466986360688262,0.87485182865078,3,4,"cell division site","CC"
"423","GO:0032589",0.469095788424472,0.873817170900941,3,4,"neuron projection membrane","CC"
"65","GO:0001669",0.471270701323857,0.777480290497734,6,9,"acrosomal vesicle","CC"
"153","GO:0005789",0.473283444511404,0.628287982243601,39,65,"endoplasmic reticulum membrane","CC"
"491","GO:0042175",0.473283444511404,0.628287982243601,39,65,"nuclear outer membrane-endoplasmic reticulum membrane network","CC"
"737","GO:0098827",0.473283444511404,0.628287982243601,39,65,"endoplasmic reticulum subcompartment","CC"
"225","GO:0012505",0.474188115583747,0.586399735542518,131,220,"endomembrane system","CC"
"305","GO:0030427",0.475627641515795,0.714255940369443,11,17,"site of polarized growth","CC"
"152","GO:0005788",0.478110678514418,0.869335494470042,3,4,"endoplasmic reticulum lumen","CC"
"165","GO:0005814",0.481876100051246,0.769620845786883,6,9,"centriole","CC"
"807","GO:1902495",0.483029799676185,0.768757440659609,6,9,"transmembrane transporter complex","CC"
"752","GO:0098984",0.484595915468956,0.722972400666118,9,14,"neuron to neuron synapse","CC"
"738","GO:0098839",0.495427003710434,0.860447905288702,3,4,"postsynaptic density membrane","CC"
"202","GO:0005938",0.501500502365818,0.730938559081301,7,11,"cell cortex","CC"
"86","GO:0005576",0.506612574353437,0.606603146415978,32,53,"extracellular region","CC"
"744","GO:0098862",0.509362676129709,0.748591338543399,6,9,"cluster of actin-based cell projections","CC"
"860","Other",0.511872457624126,0.589704630596833,40,67,NA,NA
"112","GO:0005681",0.511880058377748,0.674910608719697,11,18,"spliceosomal complex","CC"
"129","GO:0005741",0.512944639045551,0.685197262640263,10,16,"mitochondrial outer membrane","CC"
"266","GO:0019867",0.512944639045551,0.685197262640263,10,16,"outer membrane","CC"
"393","GO:0031968",0.512944639045551,0.685197262640263,10,16,"organelle outer membrane","CC"
"535","GO:0043235",0.515042403699449,0.697163265145076,9,14,"receptor complex","CC"
"198","GO:0005923",0.519285226715106,0.785712618029627,4,6,"bicellular tight junction","CC"
"538","GO:0043296",0.519285226715106,0.785712618029627,4,6,"apical junction complex","CC"
"776","GO:0110165",0.522892158366528,0.570787502001854,602,1014,"cellular anatomical entity","CC"
"458","GO:0034708",0.523628578514737,0.782605997725054,4,6,"methyltransferase complex","CC"
"66","GO:0001673",0.532314183877759,0.776311872130507,4,6,"male germ cell nucleus","CC"
"517","GO:0043073",0.532314183877759,0.776311872130507,4,6,"germ cell nucleus","CC"
"68","GO:0001726",0.533147316483939,0.775702348715358,4,6,"ruffle","CC"
"434","GO:0032993",0.536116392195148,0.652872461944673,11,18,"protein-DNA complex","CC"
"781","GO:0120114",0.537388000025738,0.734040815157726,5,8,"Sm-like protein family complex","CC"
"379","GO:0031519",0.543809910468761,0.767810732584009,4,6,"PcG protein complex","CC"
"143","GO:0005770",0.546603992201803,0.643135883828302,11,18,"late endosome","CC"
"356","GO:0031252",0.54865576828257,0.641216633053668,11,18,"cell leading edge","CC"
"372","GO:0031461",0.552216483906953,0.628038050829671,12,20,"cullin-RING ubiquitin ligase complex","CC"
"730","GO:0098794",0.552837940507821,0.58081918780997,23,38,"postsynapse","CC"
"775","GO:0106068",0.560962606635148,0.999999999999994,1,1,"SUMO ligase complex","CC"
"767","GO:0099513",0.563603879722408,0.563480149633633,25,42,"polymeric cytoskeletal fiber","CC"
"852","GO:1990726",0.563740432805321,1.00000000000002,1,1,"Lsm1-7-Pat1 complex","CC"
"735","GO:0098802",0.564232642118865,0.752212790543953,4,6,"plasma membrane signaling receptor complex","CC"
"630","GO:0070765",0.56455736247274,1.00000000000003,1,1,"gamma-secretase complex","CC"
"336","GO:0030964",0.565057902195359,0.999999999999979,1,1,"NADH dehydrogenase complex","CC"
"580","GO:0045271",0.565057902195359,0.999999999999979,1,1,"respiratory chain complex I","CC"
"736","GO:0098803",0.565057902195359,0.999999999999979,1,1,"respiratory chain complex","CC"
"815","GO:1903503",0.566343681565043,1.00000000000001,1,1,"ATPase inhibitor complex","CC"
"844","GO:1990501",0.566343681565043,1.00000000000001,1,1,"exon-exon junction subcomplex mago-y14","CC"
"652","GO:0072546",0.566408332342835,1,1,1,"EMC complex","CC"
"263","GO:0019005",0.566499868471292,0.709756778746121,5,8,"SCF ubiquitin ligase complex","CC"
"721","GO:0098685",0.567817318690452,0.708628041182028,5,8,"Schaffer collateral - CA1 synapse","CC"
"660","GO:0090543",0.568012269487433,0.999999999999992,1,1,"Flemming body","CC"
"669","GO:0097131",0.56889465667661,0.999999999999999,1,1,"cyclin D1-CDK6 complex","CC"
"670","GO:0097132",0.56889465667661,0.999999999999999,1,1,"cyclin D2-CDK6 complex","CC"
"671","GO:0097133",0.56889465667661,0.999999999999999,1,1,"cyclin D3-CDK6 complex","CC"
"9","GO:0000151",0.569833116225714,0.570318103556287,20,34,"ubiquitin ligase complex","CC"
"797","GO:0150034",0.570303091679996,0.599727374906392,14,23,"distal axon","CC"
"651","GO:0072379",0.570544272220036,1.00000000000003,1,1,"ER membrane insertion complex","CC"
"798","GO:0160064",0.570544272220036,1.00000000000003,1,1,"multi-pass translocon complex","CC"
"97","GO:0005641",0.570818593065571,0.999999999999992,1,1,"nuclear envelope lumen","CC"
"755","GO:0099078",0.571704363585993,0.999999999999997,1,1,"BORC complex","CC"
"698","GO:0097729",0.57193262263464,0.705085181535522,5,8,"9+2 motile cilium","CC"
"746","GO:0098888",0.572187567689548,1.00000000000001,1,1,"extrinsic component of presynaptic membrane","CC"
"847","GO:1990589",0.574749412430024,1.00000000000001,1,1,"ATF4-CREB1 transcription factor complex","CC"
"57","GO:0000931",0.574858085609736,1.00000000000002,1,1,"gamma-tubulin ring complex","CC"
"619","GO:0070319",0.575636096390553,0.999999999999984,1,1,"Golgi to plasma membrane transport vesicle","CC"
"620","GO:0070382",0.576332583149449,0.701268495353051,5,8,"exocytic vesicle","CC"
"793","GO:0140534",0.577126841761976,0.700576335870056,5,8,"endoplasmic reticulum protein-containing complex","CC"
"627","GO:0070622",0.57736790889797,0.99999999999999,1,1,"UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase complex","CC"
"367","GO:0031414",0.577457913344796,0.999999999999993,1,1,"N-terminal protein acetyltransferase complex","CC"
"368","GO:0031417",0.577457913344796,0.999999999999993,1,1,"NatC complex","CC"
"90","GO:0005614",0.578419761017519,1.00000000000001,1,1,"interstitial matrix","CC"
"444","GO:0033596",0.579827106805562,0.999999999999979,1,1,"TSC1-TSC2 complex","CC"
"76","GO:0002102",0.579979212386478,0.999999999999993,1,1,"podosome","CC"
"681","GO:0097441",0.579979212386478,0.999999999999993,1,1,"basal dendrite","CC"
"1","GO:0000015",0.581024564766066,1.00000000000001,1,1,"phosphopyruvate hydratase complex","CC"
"231","GO:0014802",0.5813100200277,0.999999999999987,1,1,"terminal cisterna","CC"
"586","GO:0048188",0.581417015645929,1.00000000000003,1,1,"Set1C/COMPASS complex","CC"
"540","GO:0043541",0.582307584266414,1,1,1,"UDP-N-acetylglucosamine transferase complex","CC"
"707","GO:0098554",0.582307584266414,1,1,1,"cytoplasmic side of endoplasmic reticulum membrane","CC"
"511","GO:0042824",0.582387642558943,0.999999999999988,1,1,"MHC class I peptide loading complex","CC"
"606","GO:0061779",0.582387642558943,0.999999999999988,1,1,"Tapasin-ERp57 complex","CC"
"440","GO:0033256",0.583302774948596,1.00000000000002,1,1,"I-kappaB/NF-kappaB complex","CC"
"277","GO:0030057",0.583533462618526,1.00000000000001,1,1,"desmosome","CC"
"418","GO:0032541",0.584100766327445,0.999999999999995,1,1,"cortical endoplasmic reticulum","CC"
"786","GO:0120508",0.584738061401541,0.999999999999997,1,1,"GDP-mannose pyrophosphorylase complex","CC"
"31","GO:0000444",0.585038667615022,1.00000000000001,1,1,"MIS12/MIND type complex","CC"
"857","GO:1990788",0.585197724230137,0.999999999999997,1,1,"GLI-SUFU complex","CC"
"120","GO:0005694",0.585789291079802,0.497827885164651,60,102,"chromosome","CC"
"608","GO:0061845",0.585903907661419,0.999999999999969,1,1,"neuron projection branch point","CC"
"609","GO:0061846",0.585903907661419,0.999999999999969,1,1,"dendritic spine cytoplasm","CC"
"504","GO:0042588",0.586890553149493,0.999999999999992,1,1,"zymogen granule","CC"
"505","GO:0042589",0.586890553149493,0.999999999999992,1,1,"zymogen granule membrane","CC"
"360","GO:0031264",0.587558729831676,0.999999999999994,1,1,"death-inducing signaling complex","CC"
"361","GO:0031265",0.587558729831676,0.999999999999994,1,1,"CD95 death-inducing signaling complex","CC"
"675","GO:0097342",0.587558729831676,0.999999999999994,1,1,"ripoptosome","CC"
"62","GO:0001405",0.587901192581858,0.999999999999992,1,1,"PAM complex, Tim23 associated import motor","CC"
"63","GO:0001527",0.587901192581858,0.999999999999992,1,1,"microfibril","CC"
"83","GO:0002199",0.587901192581858,0.999999999999992,1,1,"zona pellucida receptor complex","CC"
"115","GO:0005685",0.587901192581858,0.999999999999992,1,1,"U1 snRNP","CC"
"117","GO:0005687",0.587901192581858,0.999999999999992,1,1,"U4 snRNP","CC"
"131","GO:0005744",0.587901192581858,0.999999999999992,1,1,"TIM23 mitochondrial import inner membrane translocase complex","CC"
"172","GO:0005834",0.587901192581858,0.999999999999992,1,1,"heterotrimeric G-protein complex","CC"
"177","GO:0005859",0.587901192581858,0.999999999999992,1,1,"muscle myosin complex","CC"
"214","GO:0008385",0.587901192581858,0.999999999999992,1,1,"IkappaB kinase complex","CC"
"245","GO:0016442",0.587901192581858,0.999999999999992,1,1,"RISC complex","CC"
"306","GO:0030485",0.587901192581858,0.999999999999992,1,1,"smooth muscle contractile fiber","CC"
"345","GO:0031080",0.587901192581858,0.999999999999992,1,1,"nuclear pore outer ring","CC"
"364","GO:0031332",0.587901192581858,0.999999999999992,1,1,"RNAi effector complex","CC"
"365","GO:0031390",0.587901192581858,0.999999999999992,1,1,"Ctf18 RFC-like complex","CC"
"415","GO:0032433",0.587901192581858,0.999999999999992,1,1,"filopodium tip","CC"
"425","GO:0032593",0.587901192581858,0.999999999999992,1,1,"insulin-responsive compartment","CC"
"432","GO:0032982",0.587901192581858,0.999999999999992,1,1,"myosin filament","CC"
"441","GO:0033270",0.587901192581858,0.999999999999992,1,1,"paranode region of axon","CC"
"472","GO:0035686",0.587901192581858,0.999999999999992,1,1,"sperm fibrous sheath","CC"
"525","GO:0043218",0.587901192581858,0.999999999999992,1,1,"compact myelin","CC"
"526","GO:0043220",0.587901192581858,0.999999999999992,1,1,"Schmidt-Lanterman incisure","CC"
"613","GO:0070032",0.587901192581858,0.999999999999992,1,1,"synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex","CC"
