,GeneID,Length,EntrezGene,Symbol,RefSeq,logFC,logCPM,PValue
ENSRNOG00000011058,ENSRNOG00000011058.7,12734,25600,Utrn,NM_013070,0.378781298620251,8.11900146546809,2.71124057687557e-10
ENSRNOG00000014902,ENSRNOG00000014902.4,1951,292483,Stx11,NM_001025638,0.757621953398768,4.67219355117919,7.263896362969e-22
ENSRNOG00000014908,ENSRNOG00000014908.5,712,680891,Sf3b5,NM_001126092,-0.0928111194686465,4.72480809262169,0.232866258973161
ENSRNOG00000025587,ENSRNOG00000025587.4,4642,25157,Plagl1,NM_012760,1.30643924411287,8.38405393658347,3.1577081497746e-27
ENSRNOG00000015217,ENSRNOG00000015217.6,1889,361452,Ltv1,NM_001014157,0.180462267573751,5.81532896788836,0.00149264698565699
ENSRNOG00000015473,ENSRNOG00000015473.7,1979,308291,Phactr2,NM_214458,0.6359984316195,3.71100907759142,4.51361951787866e-11
ENSRNOG00000015551,ENSRNOG00000015551.4,1651,292485,Fuca2,NM_001004218,-0.910064540901975,0.614765810536377,0.000443955738436245
ENSRNOG00000015660,ENSRNOG00000015660.4,1969,83519,Pex3,NM_031350,0.118730123949515,3.80849622139878,0.24648295509999
ENSRNOG00000046983,ENSRNOG00000046983.2,567,361453,Adat2,NM_001115028,0.340347662789004,1.49774974842535,0.0509440338970855
ENSRNOG00000010753,ENSRNOG00000010753.6,1420,292486,Aig1,NM_001134425,0.100487477150125,4.32009132231011,0.18356765431397
ENSRNOG00000011015,ENSRNOG00000011015.6,9395,29721,Hivep2,NM_024137,0.51323606132572,5.31634293653207,1.30111960705917e-17
ENSRNOG00000011399,ENSRNOG00000011399.5,759,100912436,C1h3orf38,XM_039095487,0.136593214152386,2.07225561085697,0.357011288409344
ENSRNOG00000011411,ENSRNOG00000011411.7,6855,308376,Adgrg6,NM_001427850,0.62588011329469,4.59369556475964,8.74489374096563e-18
ENSRNOG00000011540,ENSRNOG00000011540.8,1380,292640,Vta1,NM_001025640,0.0353199389202258,5.44949561423821,0.614917795971742
ENSRNOG00000060990,ENSRNOG00000060990.1,1158,NA,NA,NA,0.0941690127675248,3.30071409765987,0.375901176502872
ENSRNOG00000058425,ENSRNOG00000058425.1,4377,NA,NA,NA,-0.239427705825935,0.893790161688923,0.28778100263415
ENSRNOG00000051831,ENSRNOG00000051831.1,153,NA,NA,NA,2.57127465371939,2.71519745203659,1.37412326216031e-68
ENSRNOG00000052007,ENSRNOG00000052007.1,87,NA,NA,NA,-0.631553449000718,0.0127772905508043,0.0449900592846022
ENSRNOG00000061685,ENSRNOG00000061685.1,87,NA,NA,NA,-0.50549046693045,0.224005799411778,0.058948014325624
ENSRNOG00000047746,ENSRNOG00000047746.1,1140,NA,NA,NA,0.630605436114214,6.9059281408092,6.4121861441569e-06
ENSRNOG00000053888,ENSRNOG00000053888.1,153,NA,NA,NA,2.37027414236168,2.37939277373823,8.63330613299781e-41
ENSRNOG00000055836,ENSRNOG00000055836.1,49,NA,NA,NA,0.715907700048026,3.29672217972921,2.20799948074348e-06
ENSRNOG00000060657,ENSRNOG00000060657.1,49,NA,NA,NA,0.948487820742497,2.95111299763028,1.15879409266497e-09
ENSRNOG00000059898,ENSRNOG00000059898.1,3705,NA,NA,NA,-0.0906556566406766,3.18122986068489,0.418535792221721
ENSRNOG00000056940,ENSRNOG00000056940.1,1949,114490,Cited2,NM_053698,0.05021705265068,7.7567041765008,0.377310972949839
ENSRNOG00000055972,ENSRNOG00000055972.1,1275,NA,NA,NA,0.15876497074379,-0.88550103517622,0.78360023513899
ENSRNOG00000060972,ENSRNOG00000060972.1,4794,308624,Heca,NM_001107514,-0.00710278655620868,5.21104414203258,0.909256678679117
ENSRNOG00000051450,ENSRNOG00000051450.1,793,685045,Abracl,NM_001099647,-0.189403543712995,6.59385897318222,0.00253911424418388
ENSRNOG00000059224,ENSRNOG00000059224.1,2843,292944,Reps1,NM_001106264,0.0453316367316613,5.36366867142771,0.39659944414005
ENSRNOG00000053347,ENSRNOG00000053347.1,1195,361454,Ccdc28a,NM_001037789,0.110736004618568,2.4460812187838,0.4019893813226
ENSRNOG00000060603,ENSRNOG00000060603.1,5545,308631,Nhsl1,NM_001427846,1.33434321853404,6.68229924175755,9.0188340482246e-66
ENSRNOG00000053735,ENSRNOG00000053735.1,1144,308632,Hebp2,NM_001107515,-0.622932825499202,2.99154006482289,2.05595829037999e-08
ENSRNOG00000049517,ENSRNOG00000049517.1,2445,683206,Tnfaip3,NM_001427106,-0.118198113389331,2.45506224601908,0.358369377476824
ENSRNOG00000012074,ENSRNOG00000012074.6,1894,116465,Ifngr1,NM_053783,-0.196331052973585,5.61546851101984,0.000354794812419617
ENSRNOG00000012322,ENSRNOG00000012322.7,1552,308718,Pex7,NM_001034147,0.211569859779801,2.57418146452001,0.0486259216986494
ENSRNOG00000031700,ENSRNOG00000031700.6,4137,365057,Map3k5,NM_001277694,-0.294462497445978,3.60748368612144,0.000302680027242352
ENSRNOG00000058050,ENSRNOG00000058050.1,6687,293017,Bclaf1,NM_001047852,-0.0265403101360433,7.34449065828033,0.632808638449742
ENSRNOG00000013969,ENSRNOG00000013969.6,3141,308923,Ahi1,NM_001002277,0.468327974998071,5.58665490408555,7.45980450774075e-14
ENSRNOG00000014531,ENSRNOG00000014531.7,2694,293408,Hbs1l,NM_001011934,-0.455026838064126,5.88557922451192,2.17962990354639e-17
ENSRNOG00000014979,ENSRNOG00000014979.7,2196,498985,Themis,NM_001432406,0.668627663035676,1.98624855228276,1.16308025370776e-05
ENSRNOG00000047605,ENSRNOG00000047605.2,4464,NA,NA,NA,0.178927961770751,4.83200893448883,0.00766923826535845
ENSRNOG00000046617,ENSRNOG00000046617.2,423,NA,NA,NA,0.58450195295696,2.60318517802362,3.1549432955921e-06
ENSRNOG00000011245,ENSRNOG00000011245.6,2285,293947,Arhgap18,NM_001106354,-2.09321649797496,4.98469621074147,1.64255167735824e-186
ENSRNOG00000011720,ENSRNOG00000011720.7,2744,309550,L3mbtl3,NM_001107612,0.478591830722127,4.66481154732483,2.97381877551643e-10
ENSRNOG00000033517,ENSRNOG00000033517.4,519,100360791,Tpt1l3,XM_039099022,0.0455206648734993,8.3964649185073,0.492643576366155
ENSRNOG00000026462,ENSRNOG00000026462.6,630,NA,NA,NA,-0.0603357111497446,5.63323881119933,0.513159201195793
ENSRNOG00000012346,ENSRNOG00000012346.8,2996,309557,Epb41l2,NM_001400827,0.540245319219336,6.65334888137606,2.32645289269518e-25
ENSRNOG00000013202,ENSRNOG00000013202.7,1059,361458,Akap7,NM_001001801,0.978152245625128,3.35782767639695,7.68618261072361e-33
ENSRNOG00000055111,ENSRNOG00000055111.1,1484,NA,NA,NA,-0.640740767210392,5.30562653324296,1.48639666259703e-15
ENSRNOG00000013304,ENSRNOG00000013304.5,1498,29221,Arg1,NM_017134,0.470702726245515,0.569304270184275,0.0430607839667782
ENSRNOG00000013422,ENSRNOG00000013422.7,4727,309565,Med23,NM_001277054,0.245393539793985,5.5833512228163,0.000106169181254299
ENSRNOG00000013791,ENSRNOG00000013791.5,2770,54410,Enpp3,NM_019370,0.283385369709478,4.94769412641288,6.86236086324514e-06
ENSRNOG00000013994,ENSRNOG00000013994.6,4098,85496,Enpp1,NM_053535,-1.05556343832497,7.17151413654006,3.40458883045148e-65
ENSRNOG00000015036,ENSRNOG00000015036.6,2712,64032,Ccn2,NM_022266,-0.391139882787181,10.5538712824092,3.84740961868292e-13
ENSRNOG00000015670,ENSRNOG00000015670.4,2333,60466,Stx7,NM_021869,-0.0951057959401917,5.83735200504665,0.0579460549443546
ENSRNOG00000048072,ENSRNOG00000048072.1,1077,NA,NA,NA,1.11233911275631,-0.680370472416201,0.00433968456879933
ENSRNOG00000052726,ENSRNOG00000052726.1,633,NA,NA,NA,0.359766517389246,-0.0883100387817379,0.311638079405028
ENSRNOG00000016371,ENSRNOG00000016371.7,2509,309570,Slc18b1,NM_001400828,0.199602778679504,3.03141583096001,0.0229669523380907
ENSRNOG00000060376,ENSRNOG00000060376.1,818,NA,NA,NA,-0.326504354477842,0.166077827014294,0.162673453501314
ENSRNOG00000016411,ENSRNOG00000016411.4,543,65139,Rps12,NM_031709,-0.191484784244668,9.27944188629272,0.000566916315417201
ENSRNOG00000057952,ENSRNOG00000057952.1,74,120100344,Snord101,XR_005500113,0.499078129993231,-0.581832591312792,0.135382359087754
ENSRNOG00000016627,ENSRNOG00000016627.7,1770,292172,Eya4,NM_001271317,0.689252956320597,4.78654028805905,3.96493705289946e-22
ENSRNOG00000048248,ENSRNOG00000048248.2,1107,NA,NA,NA,-0.152600144593833,3.08611398511384,0.262117048157921
ENSRNOG00000011114,ENSRNOG00000011114.7,1253,NA,NA,NA,0.0375027064322941,4.81638625496148,0.629724643005285
ENSRNOG00000011161,ENSRNOG00000011161.5,4118,308028,Slc2a12,NM_001107451,-0.351235037160155,3.03001191428545,0.00259172831864713
ENSRNOG00000011815,ENSRNOG00000011815.8,3657,29517,Sgk1,NM_001193568,-1.07281757239263,3.13238561637419,1.10422179412933e-22
ENSRNOG00000058047,ENSRNOG00000058047.1,576,NA,NA,NA,0.317701302453199,2.21832607343642,0.0750098744507274
ENSRNOG00000052999,ENSRNOG00000052999.1,315,NA,NA,NA,0.244363602390614,2.99454129653117,0.0210174325163179
ENSRNOG00000048976,ENSRNOG00000048976.3,720,NA,NA,NA,0.58783582812288,2.12580439611278,0.000183137032850155
ENSRNOG00000048796,ENSRNOG00000048796.2,399,NA,NA,NA,0.256121120806567,3.91131340340724,0.00146095173027152
ENSRNOG00000054246,ENSRNOG00000054246.1,315,NA,NA,NA,0.396064815175373,4.59789598262282,7.08414347143112e-07
ENSRNOG00000013323,ENSRNOG00000013323.6,1223,292188,Rnf217,NM_001106204,-0.293604923752869,3.66506516435225,0.000209427146977922
ENSRNOG00000021478,ENSRNOG00000021478.4,1330,689256,Tpd52l1,NM_001044295,0.298515737720731,0.297733098128401,0.250889131731465
ENSRNOG00000021442,ENSRNOG00000021442.6,1329,361462,Hddc2,NM_001108460,-0.326810734674117,3.82138131445227,5.89652914025379e-06
ENSRNOG00000013364,ENSRNOG00000013364.6,2673,155430,Hey2,NM_130417,-1.7248996775612,1.0483903862015,8.42951711809517e-15
ENSRNOG00000014004,ENSRNOG00000014004.8,3334,498995,Ncoa7,NM_001432412,-0.304641039926648,4.65524250817029,2.39219694926888e-05
ENSRNOG00000014190,ENSRNOG00000014190.7,1079,246769,Hint3,NM_001100825,-0.12295452174472,1.79244243382674,0.392201696100976
ENSRNOG00000014240,ENSRNOG00000014240.6,1570,378794,Trmt11,NM_001429736,0.612085228859955,3.20854398027713,3.90148693257875e-10
ENSRNOG00000042944,ENSRNOG00000042944.1,1601,689399,Cenpw,NM_001246319,0.0870778335572193,4.29473740174215,0.348043723338316
ENSRNOG00000011588,ENSRNOG00000011588.6,1871,308051,Rnf146,NM_001012060,0.362313794938015,4.91135202209597,1.08439673729819e-08
ENSRNOG00000011622,ENSRNOG00000011622.5,1863,361465,Echdc1,NM_001007734,-0.118502176613243,4.87542649143886,0.074859244443821
ENSRNOG00000042309,ENSRNOG00000042309.2,4152,292199,Kiaa0408L,NM_001144859,-0.0811685603674311,0.329684064916889,0.756411187916563
ENSRNOG00000012324,ENSRNOG00000012324.6,2832,108349256,Mtcl3,XM_017589873,0.700606017567986,-0.76958064095541,0.090805304006033
ENSRNOG00000023407,ENSRNOG00000023407.5,856,364656,Mrpl36,NM_001108879,-0.0357984022166195,3.45005686135868,0.698273605573394
ENSRNOG00000023387,ENSRNOG00000023387.5,639,NA,NA,NA,-0.0360999510104185,4.39160718727449,0.755150857781816
ENSRNOG00000039783,ENSRNOG00000039783.1,438,NA,NA,NA,-0.0113287625402543,9.37474399006216,0.885467653350406
ENSRNOG00000028357,ENSRNOG00000028357.6,2575,502225,Lrrc14b,NM_001109333,-0.794002570411949,1.35998485569295,7.51653251582235e-05
ENSRNOG00000012775,ENSRNOG00000012775.4,1255,NA,NA,NA,-0.260706489938724,4.60282152879363,0.000126105690787046
ENSRNOG00000013331,ENSRNOG00000013331.5,2277,157074,Sdha,NM_130428,-0.205394410911614,6.17076236793395,1.73234879529058e-05
ENSRNOG00000014485,ENSRNOG00000014485.5,1531,308061,Pdcd6,NM_001107452,-0.245866573303782,5.47376555350171,1.08584365312379e-05
ENSRNOG00000014721,ENSRNOG00000014721.4,4694,498999,Ahrr,NM_001024285,-0.674078832560711,3.5761123352638,5.30256844000513e-12
ENSRNOG00000039776,ENSRNOG00000039776.3,2510,252881,Exoc3,NM_001024964,-0.0878920054918945,5.64975513606451,0.0853683643337906
ENSRNOG00000015465,ENSRNOG00000015465.7,2167,308064,Cep72,NM_001400076,0.447931670701291,2.88781864475371,9.219641778651e-05
ENSRNOG00000015676,ENSRNOG00000015676.7,2470,308067,Brd9,NM_001107453,-0.224380688532581,4.95746981176383,0.00030621892080664
ENSRNOG00000015810,ENSRNOG00000015810.5,2698,292206,Trip13,NM_001011930,-0.0107724276646464,4.4225310305308,0.913872098364796
ENSRNOG00000016103,ENSRNOG00000016103.5,4017,308068,Nkd2,NM_001107454,-0.519645825837695,4.45303444334016,1.20887383112648e-10
ENSRNOG00000016372,ENSRNOG00000016372.7,5917,308069,Slc12a7,NM_001013144,0.698572114585396,4.80765116282335,1.37498139152395e-17
ENSRNOG00000016923,ENSRNOG00000016923.5,2312,316916,Clptm1l,NM_001108240,0.075617906632489,6.3480339750183,0.230719601083931
ENSRNOG00000017930,ENSRNOG00000017930.5,3607,361467,Lpcat1,NM_001100735,-0.0685389935721188,4.83107401659158,0.295776293943015
ENSRNOG00000047971,ENSRNOG00000047971.1,294,NA,NA,NA,-0.088907175095513,2.64675696934264,0.481564655619436
ENSRNOG00000049394,ENSRNOG00000049394.3,639,NA,NA,NA,0.0302294634261287,4.4093018242294,0.795272834184953
ENSRNOG00000012742,ENSRNOG00000012742.7,1425,306657,Irx2,NM_001039505,0.854076161080261,3.14276279192201,6.29767545048394e-13
ENSRNOG00000023053,ENSRNOG00000023053.6,6885,306665,Ice1,NM_001427643,0.122275921380959,5.97453641628076,0.028067130298541
ENSRNOG00000017095,ENSRNOG00000017095.4,1896,NA,NA,NA,-0.0259665134971613,3.85182963649917,0.781418445455308
ENSRNOG00000017150,ENSRNOG00000017150.7,945,290939,Med10,NM_001106097,-0.23283811923579,4.43486342715763,0.00139418708092829
ENSRNOG00000017254,ENSRNOG00000017254.6,4865,361191,Nsun2,NM_001108403,-0.0378998710289298,6.50402091998104,0.439900576542277
ENSRNOG00000017601,ENSRNOG00000017601.7,2719,24950,Srd5a1,NM_017070,-0.0180247637367259,2.14656311233647,0.919922477903823
ENSRNOG00000017613,ENSRNOG00000017613.5,3819,306672,Tent4a,NM_001107333,0.065732939923492,5.47698447088202,0.264992999890277
ENSRNOG00000017678,ENSRNOG00000017678.5,2802,NA,NA,NA,-0.453239930340117,5.12114632620769,1.0825054624541e-08
ENSRNOG00000032150,ENSRNOG00000032150.4,3217,81636,Adcy2,NM_031007,0.645860175511633,2.18133226820526,4.54429938675485e-05
ENSRNOG00000027422,ENSRNOG00000027422.6,2261,290946,Fastkd3,NM_001082574,0.00128449359696605,4.05137946632495,0.99616588769879
ENSRNOG00000017826,ENSRNOG00000017826.6,2944,290947,Mtrr,NM_001039003,0.1036568983493,4.65677192268885,0.153992857251632
ENSRNOG00000042308,ENSRNOG00000042308.2,1578,680200,Zfp455l1,NM_001139491,0.647130649298774,2.12097632242565,1.45667343259216e-07
ENSRNOG00000051377,ENSRNOG00000051377.1,1598,NA,NA,NA,0.545005186863439,2.80526501255072,8.40880110282012e-08
ENSRNOG00000017963,ENSRNOG00000017963.5,1597,498682,Zfp874b,NM_001346428,-0.343797566796595,2.57351090164794,0.00365845764313035
ENSRNOG00000049259,ENSRNOG00000049259.2,3204,102549842,Zfp748,NM_001401867,-0.118463232482414,3.63820280426343,0.180388893942838
ENSRNOG00000016462,ENSRNOG00000016462.5,1620,102547287,LOC102547287,NM_001409273,-0.257235349623951,3.26626621527037,0.00595988056797428
ENSRNOG00000056694,ENSRNOG00000056694.1,315,NA,NA,NA,0.675078674578794,0.352393804238558,0.0256200677501668
ENSRNOG00000047145,ENSRNOG00000047145.2,2346,102551340,Zfp729,XM_063276645,0.436913390155948,3.87833301013564,1.86193378672407e-06
ENSRNOG00000046353,ENSRNOG00000046353.3,1506,NA,NA,NA,0.819124080990091,-0.242741398521975,0.0112541388701467
ENSRNOG00000057057,ENSRNOG00000057057.1,2665,NA,NA,NA,0.792709791080933,-0.410104298295105,0.013618431588143
ENSRNOG00000053328,ENSRNOG00000053328.1,1254,NA,NA,NA,0.605000235680005,-0.905876397490022,0.155214518419705
ENSRNOG00000016368,ENSRNOG00000016368.4,2770,171010,Ppp1r14c,NM_133425,0.442530574966633,1.22778518936988,0.018216883742524
ENSRNOG00000019582,ENSRNOG00000019582.7,3734,361472,Mthfd1l,NM_001108462,0.335747227843628,5.03283159366165,1.35016777731831e-07
ENSRNOG00000019549,ENSRNOG00000019549.8,6589,83425,Akap12,NM_001033653,0.42187571928576,6.87296898920476,6.05121859748436e-09
ENSRNOG00000019544,ENSRNOG00000019544.7,3138,308126,Zbtb2,NM_001107460,0.67401032197311,3.48185047281823,1.64548319349834e-16
ENSRNOG00000019501,ENSRNOG00000019501.7,1994,292268,Rmnd1,NM_001040128,0.109346159183422,3.80770292160537,0.223746063249835
ENSRNOG00000019489,ENSRNOG00000019489.7,2972,292267,Armt1,NM_001017447,-0.262810063281653,4.36095864350663,7.46867141401193e-05
ENSRNOG00000018960,ENSRNOG00000018960.7,29464,499010,Syne1,NM_001029909,-0.941491575869136,7.37029028573038,5.16133274514068e-54
ENSRNOG00000024077,ENSRNOG00000024077.6,1833,292263,Fbxo5,NM_001106206,0.196345875242254,5.30425122783324,0.0101350718675537
ENSRNOG00000018773,ENSRNOG00000018773.7,1222,361473,Mtrf1l,NM_001025723,-0.531117074747339,3.51807701047699,5.54876396075304e-12
ENSRNOG00000018690,ENSRNOG00000018690.7,2494,308118,Rgs17,NM_001107459,-1.93444697661342,3.05269689976502,6.90217972942151e-76
ENSRNOG00000018052,ENSRNOG00000018052.7,4596,308113,Cnksr3,NM_001012061,-0.00578225581299922,5.56766330267068,0.924671617941792
ENSRNOG00000004144,ENSRNOG00000004144.6,1234,NA,NA,NA,-0.0359538242398082,2.48503887920909,0.785292058632962
ENSRNOG00000016919,ENSRNOG00000016919.7,4839,245926,Scaf8,NM_001428710,0.175712708970519,6.24630932716092,0.00171757697045772
ENSRNOG00000016728,ENSRNOG00000016728.7,5836,100362710,Tiam2,NM_001427473,-0.797696935974685,4.3899951240878,7.89707617388903e-19
ENSRNOG00000056223,ENSRNOG00000056223.1,1585,308140,Tfb1m,NM_181474,-0.48253310471257,3.4786662476928,1.6433622691954e-08
ENSRNOG00000017030,ENSRNOG00000017030.8,8044,282546,Arid1b,NM_001419802,0.133617077947112,5.79129236362685,0.0521516780194781
ENSRNOG00000016973,ENSRNOG00000016973.6,740,292228,Tmem242,NM_001144860,-0.224160983365886,3.16310642021104,0.063777948221346
ENSRNOG00000029049,ENSRNOG00000029049.4,3027,499014,Zdhhc14,NM_001039343,-0.294904791488211,1.91613717057482,0.0271401829936629
ENSRNOG00000046874,ENSRNOG00000046874.2,1782,683687,Snx9,NM_001127637,-0.541286882728949,5.29693832657603,4.66967812123154e-22
ENSRNOG00000017114,ENSRNOG00000017114.8,5113,84018,Synj2,NM_001113371,0.0960652663478541,4.53141024565429,0.203149997988052
ENSRNOG00000017889,ENSRNOG00000017889.7,1855,499015,Serac1,NM_001400935,-0.110473641366142,1.43773825978793,0.604709380800052
ENSRNOG00000018007,ENSRNOG00000018007.5,1655,502227,Gtf2h5,NM_001126088,0.0523252087109537,4.10995749700264,0.59799325221757
ENSRNOG00000018012,ENSRNOG00000018012.7,5038,499016,Tulp4,NM_001109137,1.04409184256329,6.43177461857179,3.99181829138153e-46
ENSRNOG00000018158,ENSRNOG00000018158.6,1854,502228,Tmem181,NM_001130939,0.122501605344864,4.69311209790923,0.0804524552709721
ENSRNOG00000018207,ENSRNOG00000018207.4,729,83462,Dynlt1,NM_031318,-0.229678757239896,4.73086282249583,0.00125272361679034
ENSRNOG00000018524,ENSRNOG00000018524.6,2954,54319,Ezr,NM_019357,-1.03775721364553,5.1604672127058,1.43492064667012e-48
ENSRNOG00000018762,ENSRNOG00000018762.8,1823,361476,Rsph3,NM_001108463,-0.094280243710806,0.518438046447063,0.718507049790367
ENSRNOG00000018935,ENSRNOG00000018935.3,1057,NA,NA,NA,0.413965281758164,3.30668409258152,4.36641898822801e-05
ENSRNOG00000019048,ENSRNOG00000019048.4,2063,24787,Sod2,NM_017051,-0.320001177275823,4.94300155619166,4.47220369090515e-06
ENSRNOG00000019091,ENSRNOG00000019091.7,3161,499020,Wtap,NM_001113542,-0.101370429317286,5.74207201194536,0.0879025769058485
ENSRNOG00000019189,ENSRNOG00000019189.7,2042,308100,Acat2,NM_001006995,-0.965097316950055,5.24058961267396,3.47576212612445e-45
ENSRNOG00000013975,ENSRNOG00000013975.7,2030,365096,Acat2l1,XM_063276877,-0.390615598613404,3.39911317016806,7.40841506010647e-07
ENSRNOG00000014160,ENSRNOG00000014160.4,2096,24818,Tcp1,NM_012670,-0.187895932061349,7.81709327518293,0.00364343952543744
ENSRNOG00000014582,ENSRNOG00000014582.6,945,292244,Mrpl18,NM_001106205,-0.102224153850346,5.1523204338971,0.089092060735745
ENSRNOG00000023140,ENSRNOG00000023140.7,2177,361478,Pnldc1,NM_001395593,0.546595607078376,-0.612914500730515,0.0867623088977799
ENSRNOG00000014997,ENSRNOG00000014997.4,8787,25151,Igf2r,NM_012756,-1.51398668261691,6.94384577611222,1.0166148391848e-121
ENSRNOG00000017412,ENSRNOG00000017412.3,534,NA,NA,NA,0.556716883485054,4.08882949199786,2.06132228492225e-08
ENSRNOG00000017419,ENSRNOG00000017419.7,5408,308106,Map3k4,NM_001107456,0.876001105481876,5.04783055071991,8.79958620598229e-46
ENSRNOG00000017731,ENSRNOG00000017731.4,1926,170919,Agpat4,NM_133406,-0.540729553670992,4.20293734705001,3.51570493579782e-11
ENSRNOG00000048297,ENSRNOG00000048297.3,2489,499022,Qki,NM_001115021,0.23131531908463,7.75978035518684,0.000576574112158873
ENSRNOG00000024140,ENSRNOG00000024140.5,1013,292305,Sft2d1,NM_001008302,-0.124927130354587,4.37696708950447,0.212200653615127
ENSRNOG00000012415,ENSRNOG00000012415.6,889,171087,Mpc1,NM_133561,-0.440383164166956,5.24220950554834,2.34216490674052e-15
ENSRNOG00000055093,ENSRNOG00000055093.1,3202,683722,Cep43,NM_001101008,-0.535905280920406,3.28083081128635,5.65441161112733e-08
ENSRNOG00000013190,ENSRNOG00000013190.6,1185,292306,Rnaset2,NM_001106210,0.0784211656156344,5.26901910414866,0.219189242262938
ENSRNOG00000023753,ENSRNOG00000023753.7,5319,26955,Afdn,NM_013217,1.00283740382452,4.76866048700456,8.1800945937766e-46
ENSRNOG00000054056,ENSRNOG00000054056.1,3123,NA,NA,NA,2.68416087884519,-1.04417685213116,1.96114593620022e-08
ENSRNOG00000010529,ENSRNOG00000010529.7,5879,292406,Thbs2,NM_001169138,-1.3731783329357,4.72447964592487,5.38716592799086e-29
ENSRNOG00000015609,ENSRNOG00000015609.7,2863,308222,Wdr27,NM_001432183,0.441732148317011,0.965989845400219,0.0287439194384783
ENSRNOG00000015597,ENSRNOG00000015597.5,2538,NA,NA,NA,-0.775006033568979,4.6375691822205,2.28970963531899e-32
ENSRNOG00000061312,ENSRNOG00000061312.1,1644,292404,Phf10,NM_001024747,0.0860674632938757,6.74154598071789,0.142240816120966
ENSRNOG00000015230,ENSRNOG00000015230.7,2037,361485,Ermard,NM_001037207,0.461866157871015,3.25423334404033,3.18616677995435e-06
ENSRNOG00000058790,ENSRNOG00000058790.1,4946,308218,Fam120b,NM_001107466,-0.209600380647935,5.12553152868864,0.000556989266245822
ENSRNOG00000001488,ENSRNOG00000001488.6,1068,94198,Psmb1,NM_053590,-0.384705227060683,7.06990947066714,2.59351702462492e-12
ENSRNOG00000001489,ENSRNOG00000001489.5,1867,117526,Tbp,NM_001004198,-0.0948027885156386,4.3035694705121,0.265419676143022
