"",GeneID,Length,EntrezGene,Symbol,RefSeq,logFC,logCPM,PValue,padj
ENSRNOG00000014004,ENSRNOG00000014004.8,3334,498995,Ncoa7,NM_001432412,-0.304641039926648,4.65524250817029,0.0000239219694926888,0.0000720517456108272
ENSRNOG00000014240,ENSRNOG00000014240.6,1570,378794,Trmt11,NM_001429736,0.612085228859955,3.20854398027713,3.90148693257875e-10,1.99816087304292e-9
ENSRNOG00000011588,ENSRNOG00000011588.6,1871,308051,Rnf146,NM_001012060,0.362313794938015,4.91135202209597,1.08439673729819e-8,4.86854804595276e-8
ENSRNOG00000028357,ENSRNOG00000028357.6,2575,502225,Lrrc14b,NM_001109333,-0.794002570411949,1.35998485569295,0.0000751653251582235,0.000209929908943113
ENSRNOG00000012775,ENSRNOG00000012775.4,1255,,,,-0.260706489938724,4.60282152879363,0.000126105690787046,0.00034040679460117
ENSRNOG00000013331,ENSRNOG00000013331.5,2277,157074,Sdha,NM_130428,-0.205394410911614,6.17076236793395,0.0000173234879529058,0.0000532062111163239
ENSRNOG00000014485,ENSRNOG00000014485.5,1531,308061,Pdcd6,NM_001107452,-0.245866573303782,5.47376555350171,0.0000108584365312379,0.0000342061722492801
ENSRNOG00000014721,ENSRNOG00000014721.4,4694,498999,Ahrr,NM_001024285,-0.674078832560711,3.5761123352638,5.30256844000513e-12,3.20605359146233e-11
ENSRNOG00000015465,ENSRNOG00000015465.7,2167,308064,Cep72,NM_001400076,0.447931670701291,2.88781864475371,0.00009219641778651,0.000253865171041147
ENSRNOG00000015676,ENSRNOG00000015676.7,2470,308067,Brd9,NM_001107453,-0.224380688532581,4.95746981176383,0.00030621892080664,0.000774711517894755
ENSRNOG00000016103,ENSRNOG00000016103.5,4017,308068,Nkd2,NM_001107454,-0.519645825837695,4.45303444334016,1.20887383112648e-10,6.50109650688035e-10
ENSRNOG00000016372,ENSRNOG00000016372.7,5917,308069,Slc12a7,NM_001013144,0.698572114585396,4.80765116282335,1.37498139152395e-17,1.21418738930497e-16
ENSRNOG00000012742,ENSRNOG00000012742.7,1425,306657,Irx2,NM_001039505,0.854076161080261,3.14276279192201,6.29767545048394e-13,4.08759234295456e-12
ENSRNOG00000023053,ENSRNOG00000023053.6,6885,306665,Ice1,NM_001427643,0.122275921380959,5.97453641628076,0.028067130298541,0.048362253847747
ENSRNOG00000017150,ENSRNOG00000017150.7,945,290939,Med10,NM_001106097,-0.23283811923579,4.43486342715763,0.00139418708092829,0.00316817074086048
ENSRNOG00000017678,ENSRNOG00000017678.5,2802,,,,-0.453239930340117,5.12114632620769,1.0825054624541e-8,4.86163127031539e-8
ENSRNOG00000032150,ENSRNOG00000032150.4,3217,81636,Adcy2,NM_031007,0.645860175511633,2.18133226820526,0.0000454429938675485,0.00013139137997491
ENSRNOG00000042308,ENSRNOG00000042308.2,1578,680200,Zfp455l1,NM_001139491,0.647130649298774,2.12097632242565,1.45667343259216e-7,5.7503759878866e-7
ENSRNOG00000051377,ENSRNOG00000051377.1,1598,,,,0.545005186863439,2.80526501255072,8.40880110282012e-8,3.40876077454673e-7
ENSRNOG00000017963,ENSRNOG00000017963.5,1597,498682,Zfp874b,NM_001346428,-0.343797566796595,2.57351090164794,0.00365845764313035,0.00768381408337513
ENSRNOG00000016462,ENSRNOG00000016462.5,1620,102547287,LOC102547287,NM_001409273,-0.257235349623951,3.26626621527037,0.00595988056797428,0.0119941623159233
ENSRNOG00000056694,ENSRNOG00000056694.1,315,,,,0.675078674578794,0.352393804238558,0.0256200677501668,0.0446507378112271
ENSRNOG00000047145,ENSRNOG00000047145.2,2346,102551340,Zfp729,XM_063276645,0.436913390155948,3.87833301013564,1.86193378672407e-6,6.50714646310626e-6
ENSRNOG00000046353,ENSRNOG00000046353.3,1506,,,,0.819124080990091,-0.242741398521975,0.0112541388701467,0.0212011318487282
ENSRNOG00000057057,ENSRNOG00000057057.1,2665,,,,0.792709791080933,-0.410104298295105,0.013618431588143,0.0251841984177691
ENSRNOG00000016368,ENSRNOG00000016368.4,2770,171010,Ppp1r14c,NM_133425,0.442530574966633,1.22778518936988,0.018216883742524,0.0327191185654038
ENSRNOG00000019582,ENSRNOG00000019582.7,3734,361472,Mthfd1l,NM_001108462,0.335747227843628,5.03283159366165,1.35016777731831e-7,5.35739154686348e-7
ENSRNOG00000019549,ENSRNOG00000019549.8,6589,83425,Akap12,NM_001033653,0.42187571928576,6.87296898920476,6.05121859748436e-9,2.80113838515937e-8
ENSRNOG00000019544,ENSRNOG00000019544.7,3138,308126,Zbtb2,NM_001107460,0.67401032197311,3.48185047281823,1.64548319349834e-16,1.35710761419756e-15
ENSRNOG00000019489,ENSRNOG00000019489.7,2972,292267,Armt1,NM_001017447,-0.262810063281653,4.36095864350663,0.0000746867141401193,0.000208719331755415
ENSRNOG00000018960,ENSRNOG00000018960.7,29464,499010,Syne1,NM_001029909,-0.941491575869136,7.37029028573038,5.16133274514068e-54,1.83009506850717e-52
ENSRNOG00000024077,ENSRNOG00000024077.6,1833,292263,Fbxo5,NM_001106206,0.196345875242254,5.30425122783324,0.0101350718675537,0.0193410373533056
ENSRNOG00000018773,ENSRNOG00000018773.7,1222,361473,Mtrf1l,NM_001025723,-0.531117074747339,3.51807701047699,5.54876396075304e-12,3.34469841529914e-11
ENSRNOG00000018690,ENSRNOG00000018690.7,2494,308118,Rgs17,NM_001107459,-1.93444697661342,3.05269689976502,6.90217972942151e-76,4.07199233058297e-74
ENSRNOG00000016919,ENSRNOG00000016919.7,4839,245926,Scaf8,NM_001428710,0.175712708970519,6.24630932716092,0.00171757697045772,0.00383330442988181
ENSRNOG00000016728,ENSRNOG00000016728.7,5836,100362710,Tiam2,NM_001427473,-0.797696935974685,4.3899951240878,7.89707617388903e-19,7.52992187584577e-18
ENSRNOG00000056223,ENSRNOG00000056223.1,1585,308140,Tfb1m,NM_181474,-0.48253310471257,3.4786662476928,1.6433622691954e-8,7.21455810643604e-8
ENSRNOG00000029049,ENSRNOG00000029049.4,3027,499014,Zdhhc14,NM_001039343,-0.294904791488211,1.91613717057482,0.0271401829936629,0.0469752181053861
ENSRNOG00000046874,ENSRNOG00000046874.2,1782,683687,Snx9,NM_001127637,-0.541286882728949,5.29693832657603,4.66967812123154e-22,5.26773128338113e-21
ENSRNOG00000018012,ENSRNOG00000018012.7,5038,499016,Tulp4,NM_001109137,1.04409184256329,6.43177461857179,3.99181829138153e-46,1.12029491481201e-44
ENSRNOG00000018207,ENSRNOG00000018207.4,729,83462,Dynlt1,NM_031318,-0.229678757239896,4.73086282249583,0.00125272361679034,0.00286360432369023
ENSRNOG00000018524,ENSRNOG00000018524.6,2954,54319,Ezr,NM_019357,-1.03775721364553,5.1604672127058,1.43492064667012e-48,4.39155404976479e-47
ENSRNOG00000018935,ENSRNOG00000018935.3,1057,,,,0.413965281758164,3.30668409258152,0.0000436641898822801,0.000126538530210688
ENSRNOG00000019048,ENSRNOG00000019048.4,2063,24787,Sod2,NM_017051,-0.320001177275823,4.94300155619166,4.47220369090515e-6,0.0000148687366836232
ENSRNOG00000019189,ENSRNOG00000019189.7,2042,308100,Acat2,NM_001006995,-0.965097316950055,5.24058961267396,3.47576212612445e-45,9.48582010169083e-44
ENSRNOG00000013975,ENSRNOG00000013975.7,2030,365096,Acat2l1,XM_063276877,-0.390615598613404,3.39911317016806,7.40841506010647e-7,2.7093185542948e-6
ENSRNOG00000014160,ENSRNOG00000014160.4,2096,24818,Tcp1,NM_012670,-0.187895932061349,7.81709327518293,0.00364343952543744,0.00765575107315317
ENSRNOG00000014997,ENSRNOG00000014997.4,8787,25151,Igf2r,NM_012756,-1.51398668261691,6.94384577611222,1.0166148391848e-121,1.31722879723907e-119
ENSRNOG00000017412,ENSRNOG00000017412.3,534,,,,0.556716883485054,4.08882949199786,2.06132228492225e-8,8.93626396440342e-8
ENSRNOG00000017419,ENSRNOG00000017419.7,5408,308106,Map3k4,NM_001107456,0.876001105481876,5.04783055071991,8.79958620598229e-46,2.44483894107692e-44
ENSRNOG00000017731,ENSRNOG00000017731.4,1926,170919,Agpat4,NM_133406,-0.540729553670992,4.20293734705001,3.51570493579782e-11,1.98540664887581e-10
ENSRNOG00000048297,ENSRNOG00000048297.3,2489,499022,Qki,NM_001115021,0.23131531908463,7.75978035518684,0.000576574112158873,0.00139431772038559
ENSRNOG00000012415,ENSRNOG00000012415.6,889,171087,Mpc1,NM_133561,-0.440383164166956,5.24220950554834,2.34216490674052e-15,1.79204052246416e-14
ENSRNOG00000055093,ENSRNOG00000055093.1,3202,683722,Cep43,NM_001101008,-0.535905280920406,3.28083081128635,5.65441161112733e-8,2.3400824649752e-7
ENSRNOG00000023753,ENSRNOG00000023753.7,5319,26955,Afdn,NM_013217,1.00283740382452,4.76866048700456,8.1800945937766e-46,2.27728577205058e-44
ENSRNOG00000054056,ENSRNOG00000054056.1,3123,,,,2.68416087884519,-1.04417685213116,1.96114593620022e-8,8.53400102306334e-8
ENSRNOG00000010529,ENSRNOG00000010529.7,5879,292406,Thbs2,NM_001169138,-1.3731783329357,4.72447964592487,5.38716592799086e-29,8.72519490954034e-28
ENSRNOG00000015609,ENSRNOG00000015609.7,2863,308222,Wdr27,NM_001432183,0.441732148317011,0.965989845400219,0.0287439194384783,0.0494056160544339
ENSRNOG00000015597,ENSRNOG00000015597.5,2538,,,,-0.775006033568979,4.6375691822205,2.28970963531899e-32,4.14961233778594e-31
ENSRNOG00000015230,ENSRNOG00000015230.7,2037,361485,Ermard,NM_001037207,0.461866157871015,3.25423334404033,3.18616677995435e-6,0.0000107686533976809
ENSRNOG00000058790,ENSRNOG00000058790.1,4946,308218,Fam120b,NM_001107466,-0.209600380647935,5.12553152868864,0.000556989266245822,0.00134836724065516
ENSRNOG00000001488,ENSRNOG00000001488.6,1068,94198,Psmb1,NM_053590,-0.384705227060683,7.06990947066714,2.59351702462492e-12,1.60735449393831e-11
ENSRNOG00000001490,ENSRNOG00000001490.4,1134,58934,Pdcd2,NM_031638,-0.240853805851457,3.74190682674274,0.00130409519169325,0.00297270235738822
ENSRNOG00000014434,ENSRNOG00000014434.7,6004,308215,Chd1,NM_001107465,0.282663541086131,6.25930660072638,0.000034557204974049,0.000101471543689293
ENSRNOG00000048190,ENSRNOG00000048190.1,1311,,,,0.272597852251911,4.12857223089609,0.00117411538291336,0.00269904421633408
ENSRNOG00000057242,ENSRNOG00000057242.1,107,,,,1.31370415074671,-1.33579327012684,0.0108610140279335,0.0205481848366907
ENSRNOG00000012692,ENSRNOG00000012692.6,2166,308201,Riok2,NM_001009687,0.300595751413576,5.21878532234658,2.33131462499423e-6,8.03613773270016e-6
ENSRNOG00000047387,ENSRNOG00000047387.2,2944,,,,-0.645579284359798,4.92844887501583,1.33310565929215e-9,6.54468019136912e-9
ENSRNOG00000039076,ENSRNOG00000039076.3,1112,688452,Spaca6,NM_001135720,0.559058632003421,2.71691254150598,0.000353999922978939,0.000886374378215643
ENSRNOG00000011234,ENSRNOG00000011234.3,984,,,,0.429406717949885,2.48885704064489,0.00224377452302419,0.00491510348984159
ENSRNOG00000011282,ENSRNOG00000011282.6,2188,117281,Ppp2r1a,NM_057140,-0.168160271981002,6.89506402034738,0.0033047672876082,0.00700463135230088
ENSRNOG00000059492,ENSRNOG00000059492.1,4405,100365363,Zfp160,XM_063277010,-0.184489905137898,4.96646335083587,0.00589544659598206,0.0118745298483342
ENSRNOG00000051578,ENSRNOG00000051578.1,2070,308232,Zfp54,NM_001107467,-0.70856585457817,2.13805057293137,6.91657397998916e-7,2.53815197614001e-6
ENSRNOG00000042826,ENSRNOG00000042826.3,2610,361487,Zfp52,NM_001014158,-0.444232985151034,2.88834075645754,0.00159000993151498,0.00357159716307903
ENSRNOG00000043341,ENSRNOG00000043341.3,2513,499056,Zfp51l1,NM_001401954,-0.388395852157441,2.50868845543748,0.00967516865919595,0.018547640803525
ENSRNOG00000051570,ENSRNOG00000051570.1,2629,,,,0.201900497454713,4.50117379316044,0.0242349817895184,0.042418102200465
ENSRNOG00000047884,ENSRNOG00000047884.2,1876,,,,-0.315642582082505,2.81829952161491,0.0196014659895049,0.0349254240429888
ENSRNOG00000026569,ENSRNOG00000026569.6,2698,,,,-0.56454041809159,3.35188894054313,0.0000160552000343056,0.0000495744528453481
ENSRNOG00000028767,ENSRNOG00000028767.3,1320,682225,Zfp945l1,XM_017589909,0.565459360040944,1.58767801845238,0.00391272454439705,0.0081805057279797
ENSRNOG00000061533,ENSRNOG00000061533.1,2175,100362641,Zfp945,XM_006228099,-0.730196605962027,2.66257012499059,6.52317089753527e-9,3.00955877948183e-8
ENSRNOG00000011675,ENSRNOG00000011675.7,2846,690661,Zfp40,NM_001168642,-0.394765292025675,3.22146053662046,0.000704101005883057,0.0016792802934049
ENSRNOG00000055843,ENSRNOG00000055843.1,1870,,,,0.313835762046741,3.82112852889612,0.000307433431514207,0.000777358580068021
ENSRNOG00000058909,ENSRNOG00000058909.1,2350,103689992,Rps9,NM_001313935,-0.399894432511806,9.46128644555119,6.41407540407833e-12,3.85122310100225e-11
ENSRNOG00000052600,ENSRNOG00000052600.1,2287,308309,Mboat7,NM_001134978,-0.764235025977141,4.48268832838028,1.35340086014766e-23,1.68434017280854e-22
ENSRNOG00000054459,ENSRNOG00000054459.1,1422,,,,-0.822292148982691,3.57916333559966,4.59259028592476e-18,4.16699422277885e-17
ENSRNOG00000061893,ENSRNOG00000061893.1,1846,292535,Leng1,NM_001106218,-0.390595129834382,3.31060455468655,0.0000118756970169138,0.0000371742297228477
ENSRNOG00000053234,ENSRNOG00000053234.1,2969,308311,Cnot3,NM_001107471,-0.56994635832579,5.39010675912984,1.41481896403149e-19,1.41318804879918e-18
ENSRNOG00000061039,ENSRNOG00000061039.1,2404,292536,Prpf31,NM_001106219,-0.149670359208828,5.07925190480024,0.0243178802096699,0.0425470836984936
ENSRNOG00000056098,ENSRNOG00000056098.1,1146,85423,Tfpt,NM_001398653,-0.281392790339346,3.80786614169901,0.00234696775421907,0.00512173161411824
ENSRNOG00000060293,ENSRNOG00000060293.1,276,,,,-0.504480240690284,2.9286348972181,0.000647303177460882,0.00155451433436994
ENSRNOG00000053450,ENSRNOG00000053450.1,2850,369016,Myadm,NM_183332,-0.861835183647144,7.45232818907682,1.0516743885304e-46,3.01693813898579e-45
ENSRNOG00000054438,ENSRNOG00000054438.1,2488,292543,Slc7a3l1,NM_001025639,2.70696903220961,3.41589011777156,4.74492376953932e-137,7.15039381966229e-135
ENSRNOG00000056036,ENSRNOG00000056036.1,2530,103691005,Zfp51,XM_017589926,-0.390576157468219,2.7280522960976,0.00279839973628908,0.00600758964755526
ENSRNOG00000056327,ENSRNOG00000056327.1,2076,,,,0.610397118007735,0.418283108580759,0.0198517336027952,0.0353395524742106
ENSRNOG00000027550,ENSRNOG00000027550.5,3603,361508,Mzf1,NM_001108470,-0.824813151254066,1.44444064443061,3.07814794276959e-6,0.0000104365786103389
ENSRNOG00000027514,ENSRNOG00000027514.6,1963,361509,Ube2m,NM_001108471,-0.565723074492775,5.89532845144978,4.06702852290815e-17,3.4720002119211e-16
ENSRNOG00000043328,ENSRNOG00000043328.3,917,365191,Chmp2a,NM_001108906,-0.353999129822725,5.41906457467062,5.87964909375777e-8,2.42822326588793e-7
ENSRNOG00000027459,ENSRNOG00000027459.4,2197,308366,Zbtb45,NM_001107478,-0.392732641007643,3.03081498042307,0.00228842593481964,0.00500263909812985
ENSRNOG00000027436,ENSRNOG00000027436.5,1746,365192,Zfp324,NM_001400923,-0.313681973540228,3.17726841256474,0.000603407712727221,0.00145438882636478
ENSRNOG00000019453,ENSRNOG00000019453.7,765,25538,Rps5,NM_001105722,-0.216829720213857,7.96282712482384,0.0153641860363852,0.0280718338440227
ENSRNOG00000031459,ENSRNOG00000031459.3,3253,120099766,Znf8,NM_001402794,-0.647698562810138,3.50193925349278,2.84166210976607e-11,1.61594764109093e-10
ENSRNOG00000031328,ENSRNOG00000031328.3,2469,308362,Zfp110,NM_001024775,-0.214000015673913,5.17263414885774,0.000726781495375583,0.00172950543286768
ENSRNOG00000045583,ENSRNOG00000045583.2,3939,,,,1.05594365350317,2.63077793518199,2.92140899404428e-17,2.51567790642421e-16
ENSRNOG00000019376,ENSRNOG00000019376.5,8686,308361,Zfp329,NM_001107477,-0.522284670836544,2.91898721283296,0.0000201042761717767,0.0000612180287383072
ENSRNOG00000019082,ENSRNOG00000019082.5,4026,,,,1.06134548346541,3.99345813301892,5.90652430498232e-40,1.38324413791005e-38
ENSRNOG00000046455,ENSRNOG00000046455.2,1846,102554457,Zik1,XM_039100336,0.319613084239663,3.81954352155452,0.000273470044497594,0.000697715991335047
ENSRNOG00000055229,ENSRNOG00000055229.1,3285,171105,Lnpep,NM_001113403,-0.58251855896844,4.22686878856948,0.0000154896170964753,0.0000479669536353659
ENSRNOG00000015598,ENSRNOG00000015598.7,2061,308318,Zfp772,NM_001025677,-0.624454447163795,1.34066496445941,0.00261317688194766,0.00564559431912968
ENSRNOG00000046153,ENSRNOG00000046153.1,1299,,,,0.500154135587302,2.61931556135275,0.000227296014507507,0.000587477991262504
ENSRNOG00000022742,ENSRNOG00000022742.5,1975,308320,Zfp954,NM_001107472,-0.333467031257615,3.02156173075958,0.00126203961251895,0.00288252342470556
ENSRNOG00000042777,ENSRNOG00000042777.3,2561,102548693,Zfp28,NM_001427739,-0.465928080135735,1.78557168846522,0.00337578551207042,0.00713987648197472
ENSRNOG00000015322,ENSRNOG00000015322.8,1539,,,,-1.34462712514382,0.35087015705497,3.2376485737136e-8,1.37731696305509e-7
ENSRNOG00000015517,ENSRNOG00000015517.7,4645,292569,Zfp444,NM_001169143,-0.491903716872355,5.10038378361599,1.22334667196081e-13,8.35080170362613e-13
ENSRNOG00000032913,ENSRNOG00000032913.4,1179,751812,Rasl2-9,NM_001166675,-0.371308780125261,1.64371967808119,0.0277210314429906,0.0478508124669605
ENSRNOG00000015753,ENSRNOG00000015753.6,2171,117277,Epn1,NM_057136,-0.606670756611045,5.39352480648675,3.9193456428117e-17,3.34798570498715e-16
ENSRNOG00000015914,ENSRNOG00000015914.7,1704,308335,U2af2,NM_001427197,-0.158923351790887,6.35694211587005,0.00790850799857105,0.0154427542101675
ENSRNOG00000015997,ENSRNOG00000015997.5,1020,499071,Ccdc106,NM_001400938,-0.710978364323705,2.39253536689332,1.16008227803858e-9,5.73107851644945e-9
ENSRNOG00000016279,ENSRNOG00000016279.5,2364,308337,Zfp865,NM_001134544,-0.482057740334643,1.21793574083835,0.00410150208866738,0.0085560073664286
ENSRNOG00000016565,ENSRNOG00000016565.6,1049,365179,Zfp524,NM_001108905,-0.447530551504244,1.94885260841302,0.0101606296133522,0.0193844735048183
ENSRNOG00000016687,ENSRNOG00000016687.5,4495,308341,Ssc5d,NM_001134545,-1.21018807765153,6.53869460821932,2.74298803960456e-51,8.90603891828516e-50
