"","GeneID","Length","EntrezGene","Symbol","RefSeq","logFC","logCPM","PValue","FDR"
"ENSRNOG00000008659","ENSRNOG00000008659.7",6958,"307178","Arhgap21","NM_001191693",1.20628614912372,7.19206724997488,2.0144340866885e-147,3.87890474692352e-145
"ENSRNOG00000008487","ENSRNOG00000008487.7",4689,"65157","Amotl2","NM_031717",1.16352547239888,8.78415050262554,5.96497204645578e-147,1.11754557367653e-144
"ENSRNOG00000019822","ENSRNOG00000019822.4",1300,"299626","Gadd45b","NM_001008321",1.71236325170217,6.68955561576506,3.79032203487859e-146,7.0065366255409e-144
"ENSRNOG00000050792","ENSRNOG00000050792.2",1363,"84397","Tnfaip6","NM_053382",1.874786919141,5.14799782472077,1.97330234286911e-145,3.59971890546544e-143
"ENSRNOG00000034190","ENSRNOG00000034190.6",7244,NA,NA,NA,2.99355158920305,3.67932204507026,2.06418316762299e-144,3.66895326101605e-142
"ENSRNOG00000053706","ENSRNOG00000053706.1",2499,"306505","Lonrf1","NM_001432814",1.55651993250599,4.81962641470223,4.31386958928401e-144,7.47593599822919e-142
"ENSRNOG00000003616","ENSRNOG00000003616.5",3719,"289264","Grem2","NM_001105974",1.29917230251996,7.11895350492473,3.02051189310602e-143,5.10687523000267e-141
"ENSRNOG00000007545","ENSRNOG00000007545.6",1888,"362850","Angptl4","NM_199115",2.91677699675701,3.63454657362295,7.93603741179378e-143,1.32560509249529e-140
"ENSRNOG00000057794","ENSRNOG00000057794.1",3180,"304135","Adamts5","NM_198761",1.64409534346832,5.43985275031745,4.28853300779615e-140,6.91351414187044e-138
"ENSRNOG00000002141","ENSRNOG00000002141.7",2444,"24560","Cd200","NM_031518",3.28815152448908,2.83489835182202,9.76347226975162e-139,1.52090763536895e-136
"ENSRNOG00000016066","ENSRNOG00000016066.5",1466,"83837","Bambi","NM_139082",1.698305690528,4.93662538250697,6.29124164205746e-138,9.69130823616496e-136
"ENSRNOG00000054438","ENSRNOG00000054438.1",2488,"292543","Slc7a3l1","NM_001025639",2.70696903220961,3.41589011777156,4.74492376953932e-137,7.15039381966229e-135
"ENSRNOG00000003170","ENSRNOG00000003170.6",4149,"287362","Nlrp3","NM_001191642",1.70074095037712,4.20002565774594,1.22204763322378e-135,1.80239025393772e-133
"ENSRNOG00000061297","ENSRNOG00000061297.1",299,NA,NA,NA,5.33966328006832,2.20697385954417,1.03444451527258e-134,1.5096356589199e-132
"ENSRNOG00000002045","ENSRNOG00000002045.7",3913,"25291","Anxa3","NM_012823",1.35696249616209,6.54096772321567,1.18164602065964e-132,1.70649379483596e-130
"ENSRNOG00000007443","ENSRNOG00000007443.7",5574,"29146","Jag1","NM_019147",1.38376883407616,7.78592748710147,1.06914292480729e-129,1.51250994995187e-127
"ENSRNOG00000007345","ENSRNOG00000007345.7",7271,"300289","Amot","NM_001432880",1.35075339129284,7.41153021470842,1.22965301252998e-126,1.67136366330545e-124
"ENSRNOG00000010883","ENSRNOG00000010883.4",3294,"362279","Pard6b","NM_001108609",3.21833301448365,2.87093489216935,2.16217127476321e-126,2.91032451973953e-124
"ENSRNOG00000007744","ENSRNOG00000007744.4",2599,"192249","Ehd3","NM_138890",1.4472200198916,5.93613353581869,1.00551407391984e-122,1.3404276077716e-120
"ENSRNOG00000004152","ENSRNOG00000004152.5",4040,"314941","Lrp12","NM_001134883",1.30709334815958,6.00496567199632,1.79197849135367e-122,2.36609426705975e-120
"ENSRNOG00000033734","ENSRNOG00000033734.6",1209,"24837","Tnnt2","NM_001415762",1.43795531692031,9.09763536886025,1.90374226505354e-122,2.48995120402851e-120
"ENSRNOG00000012036","ENSRNOG00000012036.7",5241,"116548","Pcsk5","NM_053823",2.3026525420578,4.33878428878039,1.24788308134543e-121,1.60191213331232e-119
"ENSRNOG00000006410","ENSRNOG00000006410.5",2700,"171026","Akap5","NM_133515",4.56142658507231,3.1563702625305,1.32748376196738e-120,1.6432352567782e-118
"ENSRNOG00000004303","ENSRNOG00000004303.5",1748,"25358","Timp3","NM_012886",1.54457742010329,5.51584953881551,2.30398161556718e-119,2.82676116090473e-117
"ENSRNOG00000015736","ENSRNOG00000015736.6",2079,"313689","Dhrs3","NM_001037199",3.08160611972854,3.83741636415636,1.07985968196597e-117,1.29061850265313e-115
"ENSRNOG00000056343","ENSRNOG00000056343.1",4958,"305922","Lats2","NM_001107267",1.09741180673523,6.9576910947267,1.020711903726e-116,1.19924998586926e-114
"ENSRNOG00000014837","ENSRNOG00000014837.7",3228,"316736","Emilin2","NM_001431280",2.03513872875869,4.27185373455887,1.46355888129725e-116,1.70510759078194e-114
"ENSRNOG00000017672","ENSRNOG00000017672.7",2332,"191574","Akr1c14","NM_138547",3.65633848157552,4.05103061960293,4.85393468368765e-116,5.60791253788713e-114
"ENSRNOG00000026607","ENSRNOG00000026607.5",2081,"364031","Tnfsf18","NM_001398596",2.52390370778747,4.71910372475516,1.05008128948405e-115,1.20316752044684e-113
"ENSRNOG00000018943","ENSRNOG00000018943.6",824,"290561","Tnnc1","NM_001034105",1.74146066296243,7.03188003933153,1.65100131746821e-115,1.87618707093273e-113
"ENSRNOG00000003203","ENSRNOG00000003203.4",2111,"498008","Hexim1","NM_001025136",1.1424688484741,6.39534463915143,4.66122470398833e-113,5.08844246425939e-111
"ENSRNOG00000004210","ENSRNOG00000004210.6",2188,"298878","Osr1","NM_001106716",1.27393303421861,7.61434508041692,9.36629797903237e-112,1.00662290838221e-109
"ENSRNOG00000010748","ENSRNOG00000010748.8",6805,"306487","Mtus1","NM_001395000",1.41631136290584,7.19878414623403,2.56555216792831e-109,2.71517673711131e-107
"ENSRNOG00000024503","ENSRNOG00000024503.6",8093,"690073","Nbas","NM_001427446",1.12832445866594,6.89915560550002,9.66129218226836e-109,9.99583244887825e-107
"ENSRNOG00000033528","ENSRNOG00000033528.4",4723,"678743","Tll1","NM_001106081",1.38589361844402,6.69136685791514,3.49052327110578e-108,3.5067112051167e-106
"ENSRNOG00000027245","ENSRNOG00000027245.4",2646,"498662","Tdrp","NM_001100791",1.38223533862094,5.01846830256179,9.69139198235886e-108,9.666291974347e-106
"ENSRNOG00000013248","ENSRNOG00000013248.5",6864,"498630","Wwc2","NM_001109111",1.28337096151192,7.48299531011393,1.29621836950682e-107,1.28362653391733e-105
"ENSRNOG00000004749","ENSRNOG00000004749.4",2610,"58976","Slc30a1","NM_022853",1.38927542665959,4.58642733624689,4.84388875396199e-104,4.59970367704993e-102
"ENSRNOG00000008587","ENSRNOG00000008587.6",4559,"89804","Tek","NM_001105737",2.13104621108967,3.27909686101158,5.62561115770312e-103,5.30567844152354e-101
"ENSRNOG00000042960","ENSRNOG00000042960.2",890,"117183","Rgcc","NM_054008",1.38980819316233,5.32358957325087,6.52710299723084e-103,6.11430783470327e-101
"ENSRNOG00000059449","ENSRNOG00000059449.1",301,NA,NA,NA,4.6346839124485,3.36315100107897,9.9243014146326e-102,9.17270098749775e-100
"ENSRNOG00000026186","ENSRNOG00000026186.6",3516,"308021","Syde2","NM_001305229",1.16721819112933,5.57985368395877,1.66198796933273e-101,1.52594709979e-99
"ENSRNOG00000015157","ENSRNOG00000015157.6",2441,"679629","Smtnl2","NM_001190998",2.50543797687501,3.12943670470464,3.38476448682461e-100,2.97002372438838e-98
"ENSRNOG00000060568","ENSRNOG00000060568.1",5543,"171070","Ptpn21","NM_133545",1.18902313556172,5.69209292685393,5.72403152359284e-98,4.89864031130192e-96
"ENSRNOG00000060518","ENSRNOG00000060518.1",1092,NA,NA,NA,2.28295825301473,6.45705279814937,8.75318885477075e-96,7.22346489777034e-94
"ENSRNOG00000008785","ENSRNOG00000008785.7",3408,"84410","Klf5","NM_053394",2.2590266002934,3.87946816157803,2.95203061099859e-93,2.3933890287067e-91
"ENSRNOG00000012422","ENSRNOG00000012422.7",4829,"294917","Tnik","NM_001106422",2.69608179432608,2.62691557567795,1.46085700509529e-92,1.1639839953242e-90
"ENSRNOG00000010780","ENSRNOG00000010780.6",7691,"58834","Dlc1","NM_001127446",1.02776587258075,6.82483903112731,2.23828831270341e-92,1.77323595241829e-90
"ENSRNOG00000042821","ENSRNOG00000042821.3",1484,"25407","Cd59b","NM_012925",1.20602710219001,5.91573471989003,3.8985505359337e-92,3.0709945812605e-90
"ENSRNOG00000015986","ENSRNOG00000015986.6",5241,"312846","Rassf8","NM_001191753",1.04570867201543,7.67915980554527,7.06645854350414e-91,5.44274340261897e-89
"ENSRNOG00000025702","ENSRNOG00000025702.6",4313,"304495","Kdm2b","NM_001100679",1.05977504531167,6.46108483418649,8.27140262671102e-90,6.16530785036137e-88
"ENSRNOG00000013970","ENSRNOG00000013970.5",2239,"292071","Cdt1","NM_001106192",1.27000046027611,5.19103249111845,3.45418283124711e-89,2.56089790226791e-87
"ENSRNOG00000008934","ENSRNOG00000008934.7",2453,"500874","Tmem65","NM_001100995",1.30594461647296,4.82367950388718,1.45921660023144e-88,1.07609462476642e-86
"ENSRNOG00000032048","ENSRNOG00000032048.6",9281,"362522","Zfp462","NM_001427395",1.43090146473172,4.93317142192888,4.595317292564e-87,3.37087190180462e-85
"ENSRNOG00000012791","ENSRNOG00000012791.6",3228,"85265","Ajuba","NM_053503",1.54229741398366,6.66188521323277,3.24248181841387e-86,2.35360041520889e-84
"ENSRNOG00000029698","ENSRNOG00000029698.5",1720,"64534","Pim3","NM_022602",1.76863248552975,3.71011469700578,1.7277901375913e-85,1.24760846185239e-83
"ENSRNOG00000001621","ENSRNOG00000001621.5",3877,"304055","C2cd2","NM_199391",1.25575786380798,4.98709087055937,2.13143449758683e-85,1.52320659147133e-83
"ENSRNOG00000001277","ENSRNOG00000001277.4",2645,NA,NA,NA,1.07595882274425,5.39808185011408,1.84357330927887e-84,1.31073335178679e-82
"ENSRNOG00000010079","ENSRNOG00000010079.6",1586,"54232","Car3","NM_019292",1.74684829591208,9.14255769554446,5.27023243382343e-84,3.70895951586437e-82
"ENSRNOG00000012543","ENSRNOG00000012543.7",2932,"316273","Mcm3","NM_001191805",1.06174981924732,6.80651785237162,9.16981907705412e-84,6.3884608886572e-82
"ENSRNOG00000020729","ENSRNOG00000020729.3",1557,"63878","Stc2","NM_022230",2.03896508807052,4.38891531130336,1.80329518388067e-83,1.25004422146608e-81
"ENSRNOG00000008479","ENSRNOG00000008479.8",3020,"29715","Slc8a1","NM_001270772",1.29644349050298,4.75426206554814,3.39407221931104e-83,2.32947610141229e-81
"ENSRNOG00000054204","ENSRNOG00000054204.1",6854,"29627","Gria2","NM_001083811",3.37122251631135,2.41691786608301,6.68791681656292e-83,4.56755067708514e-81
"ENSRNOG00000004033","ENSRNOG00000004033.8",3182,"361324","Sema6a","NM_001108430",1.70114055440244,3.70720677784484,2.0695498639855e-82,1.39962142996561e-80
"ENSRNOG00000014479","ENSRNOG00000014479.5",4795,"310760","Cttnbp2nl","NM_001107712",1.13140571770166,6.15570433927948,4.15802781450888e-82,2.77148546251688e-80
"ENSRNOG00000023473","ENSRNOG00000023473.7",2046,"502091","Rnf122","NM_001399271",1.2321208593649,5.17753724776415,2.58274770138822e-81,1.7132638340692e-79
"ENSRNOG00000037339","ENSRNOG00000037339.4",3273,"292844","Siglec10","NM_001106250",1.84325552859075,3.58885375482187,4.9077271663738e-81,3.24003473498126e-79
"ENSRNOG00000033119","ENSRNOG00000033119.6",5391,"25031","Plcb4","NM_001431415",1.03595734866173,6.77460903872467,8.94023352281081e-81,5.81912664602108e-79
"ENSRNOG00000058940","ENSRNOG00000058940.2",8362,"498650","Rab11fip1","NM_001191555",1.28627287953706,4.75691597858737,3.57468941057492e-80,2.2838476492263e-78
"ENSRNOG00000013391","ENSRNOG00000013391.8",6314,"114901","Sorbs2","NM_053770",1.18636879808024,5.49725219233701,2.64874891408934e-78,1.63938638147029e-76
"ENSRNOG00000008412","ENSRNOG00000008412.6",2092,"312790","Gprc5a","NM_001079890",2.50710881328295,2.90145131339871,2.58769656916949e-77,1.59448112155404e-75
"ENSRNOG00000004362","ENSRNOG00000004362.7",5602,"314384","Rps6ka5","NM_001108048",1.41756538679379,4.7541640906086,3.60425488824575e-77,2.2110349456035e-75
"ENSRNOG00000051440","ENSRNOG00000051440.1",8320,"304813","Ppp1r12b","NM_001107178",1.01447446847395,6.55497193388257,1.63370673200327e-76,9.8050693214257e-75
"ENSRNOG00000016538","ENSRNOG00000016538.5",5857,"364786","Itga8","NM_001173972",1.32112113395305,5.06913035440667,1.11982783541396e-75,6.57851402973695e-74
"ENSRNOG00000017550","ENSRNOG00000017550.6",1323,"296145","Fbln7","NM_001430105",3.26712134436486,2.12008459345438,6.86168058978623e-75,3.93100577259489e-73
"ENSRNOG00000026293","ENSRNOG00000026293.2",3089,"24516","Jun","NM_021835",1.08417916851112,6.35702922352482,1.44476526356746e-74,8.24289119921778e-73
"ENSRNOG00000058083","ENSRNOG00000058083.1",300,NA,NA,NA,4.50862642140015,3.91365672240678,6.17825660200087e-73,3.45384473911855e-71
"ENSRNOG00000030449","ENSRNOG00000030449.5",1010,"300850","Gsta4","NM_001106840",2.19289031810024,2.99023628888772,6.51143379905871e-73,3.62548265823895e-71
"ENSRNOG00000060775","ENSRNOG00000060775.1",5190,"361084","Lmo7","NM_001001515",1.03867672031749,6.87631261965601,6.87281874054849e-73,3.81139036075857e-71
"ENSRNOG00000012294","ENSRNOG00000012294.7",4377,"117240","Heph","NM_133304",1.00322984788312,5.43592580444969,7.87565928315806e-73,4.35012511162165e-71
"ENSRNOG00000005124","ENSRNOG00000005124.6",4921,"313866","Plekhh2","NM_001191770",1.11613423818125,5.71997810831696,4.33426819787938e-72,2.37511044645849e-70
"ENSRNOG00000032659","ENSRNOG00000032659.4",4728,"84587","Plcl1","NM_053456",1.51741762239567,4.62888496921351,2.4371377471705e-71,1.32503834222635e-69
"ENSRNOG00000017065","ENSRNOG00000017065.7",2914,"301709","Arhgap28","NM_001191815",1.35900017000077,4.60463134125894,1.97715345246881e-70,1.05023967298956e-68
"ENSRNOG00000014963","ENSRNOG00000014963.6",3754,"260326","Adgrg1","NM_152242",1.61183881373603,4.84186902510746,2.19295081910665e-70,1.16042252504178e-68
"ENSRNOG00000053902","ENSRNOG00000053902.1",299,NA,NA,NA,4.38309379942539,3.3898092283111,9.80528020508145e-70,5.12982659483959e-68
"ENSRNOG00000051831","ENSRNOG00000051831.1",153,NA,NA,NA,2.57127465371939,2.71519745203659,1.37412326216031e-68,7.1351479050901e-67
"ENSRNOG00000000168","ENSRNOG00000000168.4",2528,"81660","Gatm","NM_031031",2.21385584121229,3.37437436037374,1.53094236211748e-68,7.89032896222929e-67
"ENSRNOG00000061096","ENSRNOG00000061096.1",300,NA,NA,NA,4.45210010443566,3.8549242539813,8.23836092663784e-68,4.19914102525393e-66
"ENSRNOG00000057867","ENSRNOG00000057867.1",1801,"363093","Mns1","NM_001007752",1.85321250278894,3.97655546333002,4.32777837574957e-67,2.17392461599246e-65
"ENSRNOG00000020279","ENSRNOG00000020279.3",4259,"60568","Syt11","NM_031667",1.27069623335393,4.19518220547333,6.16890544279269e-67,3.06543745730745e-65
"ENSRNOG00000015274","ENSRNOG00000015274.7",2801,"84473","Ddx20","NM_001191711",1.12810118673755,5.04945738739973,2.46383376344231e-66,1.21560823118734e-64
"ENSRNOG00000023433","ENSRNOG00000023433.6",2158,"29300","Gata6","NM_019185",2.04175505747885,3.43461892448213,3.70868991295705e-66,1.81686491000836e-64
"ENSRNOG00000060603","ENSRNOG00000060603.1",5545,"308631","Nhsl1","NM_001427846",1.33434321853404,6.68229924175755,9.0188340482246e-66,4.35669391096118e-64
"ENSRNOG00000031834","ENSRNOG00000031834.4",1411,"296469","Nkain4","NM_001106550",1.2733026465058,4.34109588137417,9.97896787110028e-65,4.67393278935589e-63
"ENSRNOG00000052810","ENSRNOG00000052810.1",1701,"29277","Cyp2c11","NM_019184",2.87428262410982,1.84159294712703,2.04585571504121e-64,9.48620188405729e-63
"ENSRNOG00000005039","ENSRNOG00000005039.8",3870,"29436","Tfpi","NM_001177321",1.05442947086371,7.24263515880935,1.21042142517854e-63,5.52015876272215e-62
"ENSRNOG00000004208","ENSRNOG00000004208.5",4076,"298744","Crim1","NM_001169103",1.02653005532058,7.01694011173696,4.98517954507455e-63,2.22950094235205e-61
"ENSRNOG00000048088","ENSRNOG00000048088.2",999,"58827","Mest","NM_001009617",1.26051048752443,4.64713065004493,9.35128023543268e-63,4.15532529436022e-61
"ENSRNOG00000014490","ENSRNOG00000014490.5",1156,"295458","Bdh2","NM_001106473",1.2913147380062,4.59845144233001,1.20025959566931e-62,5.31642141672822e-61
"ENSRNOG00000021206","ENSRNOG00000021206.6",813,"24913","Plaat3","NM_017060",1.78834259329792,3.75147342369149,2.12906292045065e-62,9.28217871985153e-61
"ENSRNOG00000008116","ENSRNOG00000008116.5",3079,"192270","Plpp3","NM_138905",1.43416746130795,3.34416968825723,7.48083461801268e-62,3.22094071876173e-60
"ENSRNOG00000012929","ENSRNOG00000012929.6",2262,"303336","Wsb1","NM_001025664",1.05832937170581,6.6260215885505,9.2409313496649e-62,3.96644805671065e-60
"ENSRNOG00000008336","ENSRNOG00000008336.6",2900,"25341","Tnfrsf11b","NM_012870",1.03224028780491,6.81801100706001,1.2764630292355e-61,5.46200106090155e-60
"ENSRNOG00000000156","ENSRNOG00000000156.6",9258,"65049","Megf6","NM_022955",6.52514284915606,0.748720070011381,9.6933187940359e-61,4.09720035855225e-59
"ENSRNOG00000047928","ENSRNOG00000047928.1",414,"683573","Rgccl1","XM_039111548",1.38170082681876,4.00477034868748,4.64113496996879e-60,1.90368920780021e-58
"ENSRNOG00000007666","ENSRNOG00000007666.6",3781,"58942","Cacnb4","NM_001105733",2.89528771508048,1.22296028455392,9.02724905872141e-60,3.67019885484204e-58
"ENSRNOG00000013239","ENSRNOG00000013239.8",7223,"25565","Tle4","NM_001414041",1.01187823035775,5.22950525045455,4.39195718640703e-59,1.75475776462095e-57
"ENSRNOG00000017608","ENSRNOG00000017608.6",7152,"293148","C2cd3","NM_001191602",1.0617854847128,5.63641406784675,5.91033457931235e-58,2.32786586953371e-56
"ENSRNOG00000002418","ENSRNOG00000002418.7",4317,"81809","Tgfb2","NM_031131",1.11835466223123,8.35334370659955,6.14896708186253e-58,2.41499375702386e-56
"ENSRNOG00000013090","ENSRNOG00000013090.7",1090,"291005","Gadd45g","NM_001077640",1.80230605400726,6.29929657830992,6.26076030109217e-58,2.45195426029214e-56
"ENSRNOG00000002192","ENSRNOG00000002192.6",3680,"289635","Rell1","NM_001113776",1.01771112823323,5.93773527179915,9.59100214344235e-58,3.73510263249115e-56
"ENSRNOG00000027940","ENSRNOG00000027940.7",2910,"314614","Plppr3","NM_181634",2.11143919076819,2.35888751172712,1.68624706767838e-57,6.53020372801481e-56
"ENSRNOG00000003742","ENSRNOG00000003742.8",2947,"100362725","Cdkl5","NM_001421533",1.56520930106746,5.0639339525475,2.8909878985507e-57,1.11335156181964e-55
"ENSRNOG00000008869","ENSRNOG00000008869.6",3834,"84685","Ppp1r9a","NM_001401497",2.4895192058613,1.55039304020579,5.73795757696863e-57,2.19754264770975e-55
"ENSRNOG00000028274","ENSRNOG00000028274.5",5531,"293736","Myrf","NM_001170487",1.33093393552195,5.1183039309228,7.19828878060815e-57,2.74167790259207e-55
"ENSRNOG00000016102","ENSRNOG00000016102.5",4843,"361668","Ebf3","NM_001108506",1.65254777860737,3.12411753493452,9.83454758447943e-57,3.72530512872193e-55
"ENSRNOG00000015488","ENSRNOG00000015488.7",1824,"361630","Tead1","NM_001198589",1.13185696213908,5.91453646609818,8.58312709873515e-56,3.17323930924971e-54
"ENSRNOG00000016029","ENSRNOG00000016029.5",3128,"24708","Rb1","NM_017045",1.27877318623036,4.62029036405438,2.16354552662036e-55,7.8935250476486e-54
"ENSRNOG00000023661","ENSRNOG00000023661.6",1628,"29428","Celf2","NM_001083586",1.50312065363283,5.38608522730796,9.13993505538197e-55,3.28279947170507e-53
"ENSRNOG00000013737","ENSRNOG00000013737.6",3337,"310838","Bcar3","NM_001107722",1.10172597798847,4.5759897016326,1.51290060162916e-53,5.32356699009816e-52
"ENSRNOG00000031916","ENSRNOG00000031916.5",4776,"83508","Timeless","NM_031340",1.06692519355205,6.25503081589916,4.17155161806663e-53,1.44948349957082e-51
"ENSRNOG00000019977","ENSRNOG00000019977.7",7439,"360406","Ptprf","NM_019249",1.37723389366469,3.63223946211557,6.43766992186131e-53,2.20374952584408e-51
"ENSRNOG00000005362","ENSRNOG00000005362.6",1883,"29885","Rab3ip","NM_017313",1.02967142459724,4.71574594863587,6.56277555567735e-53,2.24104237201751e-51
"ENSRNOG00000056944","ENSRNOG00000056944.2",3583,"305156","Arhgap24","NM_001012032",1.00508027688613,5.06606592650277,1.58773718025045e-52,5.40844920564921e-51
"ENSRNOG00000058752","ENSRNOG00000058752.1",2224,"360718","Popdc2","NM_199113",1.44149536163204,2.96623434980687,2.27109575566843e-52,7.69840380356654e-51
"ENSRNOG00000058725","ENSRNOG00000058725.1",153,NA,NA,NA,2.64675792966976,2.9657534156651,4.12172726208902e-52,1.38176931489678e-50
"ENSRNOG00000002208","ENSRNOG00000002208.6",7766,"305230","Shroom3","NM_001100889",1.99591962154813,2.62701749847501,4.61505637133101e-52,1.54176244655742e-50
"ENSRNOG00000036601","ENSRNOG00000036601.4",3029,"50556","Exoc6","NM_019277",1.15441155998211,3.95253334002893,7.16859617868606e-52,2.37764156510295e-50
"ENSRNOG00000016708","ENSRNOG00000016708.7",4510,"311562","Necab3","NM_001098724",1.14529671182262,4.83163925241654,7.60287318459664e-52,2.51566190528038e-50
"ENSRNOG00000026502","ENSRNOG00000026502.6",1585,"299933","Dscc1","NM_001305236",1.05845906801467,5.15957225888928,1.83787527586011e-51,6.02371225166065e-50
"ENSRNOG00000009892","ENSRNOG00000009892.5",6064,"300474","Adamts15","NM_001106810",2.25900286704332,2.33497814724438,2.20835920918119e-51,7.20392754731483e-50
"ENSRNOG00000058289","ENSRNOG00000058289.1",381,NA,NA,NA,1.49693241008531,4.15513031187657,3.04722413972349e-51,9.87072791428188e-50
"ENSRNOG00000050545","ENSRNOG00000050545.1",57,NA,NA,NA,2.05714034327843,4.04707253800103,3.86125296419366e-51,1.24493979292049e-49
"ENSRNOG00000045843","ENSRNOG00000045843.2",4333,"684259","Rusc2","NM_001427205",1.11028440979306,5.09377517215151,6.11036153860274e-51,1.96097343451825e-49
"ENSRNOG00000017109","ENSRNOG00000017109.5",1413,"293623","Rassf7","NM_001106317",2.70758759080048,1.34858881617585,7.77985357253408e-51,2.49099052955225e-49
"ENSRNOG00000004317","ENSRNOG00000004317.4",4325,"29555","Vipr2","NM_017238",2.62152177885729,1.66636808737442,8.62259146233604e-51,2.75446101460431e-49
